kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
10213902,K01723.01,Kepler-940 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,59.6222627,0.0003077,-0.0003077,138.13805,0.00422,-0.00422,0.873,0.017,-0.599,6.888,0.159,-0.159,993.4,35.5,-35.5,3.63,0.97,-0.41,486.0,,,13.23,10.44,-4.21,31.90,1,q1_q17_dr25_tce,6108.00,168.00,-210.00,4.471,0.058,-0.173,0.9970,0.2660,-0.1140,19h36m57.91s,+47d16m33.5s,15.517,
9842906,K01493.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,4.9883873,3.044e-05,-3.044e-05,358.23526,0.00444,-0.00444,0.944,0.018,-0.627,9.059,0.49,-0.49,507.6,13.7,-13.7,3.28,1.05,-0.42,1236.0,,,550.52,520.66,-192.58,42.40,1,q1_q17_dr25_tce,6418.00,179.00,-246.00,4.395,0.054,-0.216,1.1710,0.3750,-0.1500,19h45m46.03s,+46d37m00.2s,15.447,
11821363,K01494.01,Kepler-1754 b,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,8.19596647,3.998e-05,-3.998e-05,136.68736,0.00427,-0.00427,0.252,0.198,-0.252,2.824,0.13,-0.13,792.8,45.9,-45.9,2.04,0.13,-0.19,672.0,,,48.20,14.22,-13.82,20.20,1,q1_q17_dr25_tce,4723.00,167.00,-167.00,4.557,0.063,-0.032,0.7470,0.0460,-0.0690,19h41m49.72s,+50d04m37.8s,15.858,
7629518,K01495.01,Kepler-863 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,15.59466045,4.228e-05,-4.228e-05,137.5636,0.00227,-0.00227,0.266,0.161,-0.266,5.0478,0.0699,-0.0699,867.7,20.2,-20.2,2.74,0.88,-0.29,718.0,,,62.88,60.30,-18.94,49.20,1,q1_q17_dr25_tce,5900.00,176.00,-193.00,4.500,0.052,-0.208,0.9290,0.2970,-0.0990,19h50m39.48s,+43d14m56.3s,15.430,
10810838,K00174.01,Kepler-482 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,56.35407916,9.756e-05,-9.756e-05,144.83768,0.00136,-0.00136,0.835,0.047,-0.572,3.4449,0.0661,-0.0661,1037,20.2,-20.2,2.59,0.1,-0.16,352.0,,,3.63,0.61,-0.69,59.40,1,q1_q17_dr25_tce,4802.00,96.00,-96.00,4.582,0.049,-0.017,0.7010,0.0270,-0.0440,19h47m17.50s,+48d06m27.2s,13.779,
4828341,K01496.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,36.12895451,4.407e-05,-4.407e-05,388.551318,0.000813,-0.000813,1.474,70.28,-1.154,2.2348,0.0442,-0.0442,3758.6,68.8,-68.8,53.72,15.67,-6.71,546.0,,,21.05,18.40,-7.11,66.30,1,q1_q17_dr25_tce,5921.00,175.00,-211.00,4.484,0.065,-0.195,0.9120,0.2660,-0.1140,19h18m25.63s,+39d56m18.0s,15.600,
10019763,K01558.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,32.50456309,2.097e-05,-2.097e-05,365.358295,0.000469,-0.000469,0.927,0.033,-0.019,2.4657,0.0384,-0.0384,7589.6,78.5,-78.5,10.68,3.31,-1.18,591.0,,,28.80,27.06,-9.31,148.10,1,q1_q17_dr25_tce,6132.00,192.00,-234.00,4.479,0.067,-0.202,0.9470,0.2930,-0.1050,19h40m11.13s,+46d58m28.5s,15.134,
9899280,K01559.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,1.332560589,2.18e-06,-2.18e-06,133.38311,0.0013,-0.0013,0.009,0.243,-0.009,4.2427,0.0452,-0.0452,566.6,6.3,-6.3,1.4,0.13,-0.11,1086.0,,,330.32,114.05,-81.13,108.80,1,q1_q17_dr25_tce,4489.00,134.00,-134.00,4.662,0.040,-0.036,0.6090,0.0570,-0.0470,19h40m44.55s,+46d47m12.2s,15.036,
8046659,K01560.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,31.56904354,2.292e-05,-2.292e-05,158.29983,0.000587,-0.000587,0.985,1.415,-0.038,2.6364,0.03,-0.03,4229.4,44.8,-44.8,11.18,3.01,-2.01,575.0,,,25.83,21.00,-10.42,113.60,1,q1_q17_dr25_tce,5654.00,169.00,-169.00,4.387,0.132,-0.182,0.9980,0.2690,-0.1790,19h49m40.72s,+43d52m35.7s,15.042,
4940438,K01561.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,9.08590495,1.174e-05,-1.174e-05,182.08162,0.00113,-0.00113,0.978,4.887,-0.036,2.0718,0.0564,-0.0564,2121.3,49.3,-49.3,6.28,1.52,-0.82,861.0,,,130.10,95.81,-44.05,50.50,1,q1_q17_dr25_tce,5931.00,177.00,-195.00,4.479,0.091,-0.169,0.8660,0.2100,-0.1130,19h44m08.02s,+40d01m10.6s,15.549,
5308663,K01562.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1,0.784512952,1.614e-06,-1.614e-06,355.57263,0.00144,-0.00144,1.234,1.001,-0.174,2.4623,0.0765,-0.0765,586,15.8,-15.8,25.48,7.44,-2.48,1952.0,,,3432.93,3055.16,-1042.53,44.40,1,q1_q17_dr25_tce,5997.00,189.00,-231.00,4.522,0.050,-0.200,0.9040,0.2640,-0.0880,19h58m13.44s,+40d27m23.6s,15.590,
5474733,K01610.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,0.883778461,2.166e-06,-2.166e-06,133.60599,0.00195,-0.00195,0.605,0.31,-0.373,1.6339,0.0645,-0.0645,120.1,4.6,-4.6,1.09,0.32,-0.14,1934.0,,,3316.40,2839.69,-1070.18,31.70,1,q1_q17_dr25_tce,5975.00,161.00,-179.00,4.453,0.081,-0.189,0.9490,0.2770,-0.1190,19h53m34.78s,+40d37m44.1s,14.063,
10963065,K01612.01,Kepler-408 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.465024332,5.414e-06,-5.414e-06,132.68122,0.00177,-0.00177,0.548,0.013,-0.464,1.262,0.0584,-0.0584,30.7,1.6,-1.6,0.69,0.03,-0.04,1561.0,,,1406.11,239.86,-212.65,23.20,1,q1_q17_dr25_tce,6139.00,82.00,-82.00,4.291,0.033,-0.027,1.1940,0.0640,-0.0640,18h59m08.69s,+48d25m23.6s,8.769,
6268648,K01613.01,Kepler-907 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.86624787,6.813e-05,-6.813e-05,141.08734,0.00323,-0.00323,0.858,0.096,-0.594,4.25,0.0941,-0.0941,77.3,2.9,-2.9,1.31,0.06,-0.05,879.0,,,141.18,19.99,-18.50,28.40,1,q1_q17_dr25_tce,6099.00,79.00,-85.00,4.193,0.016,-0.018,1.3080,0.0540,-0.0540,19h01m54.38s,+41d37m57.8s,11.049,
10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,4.288515468,1.074e-06,-1.074e-06,121.97268,0.000212,-0.000212,1.283,0.594,-0.18,2.2959,0.0107,-0.0107,3456.7,14.4,-14.4,76.51,16.12,-26.22,1722.0,,,2081.57,1321.07,-1277.37,292.10,1,q1_q17_dr25_tce,6378.00,176.00,-176.00,3.878,0.315,-0.105,2.0020,0.4220,-0.6860,18h58m57.26s,+47d10m10.7s,13.396,
5357901,K00188.01,Kepler-425 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,3.797018259,1.87e-07,-1.87e-07,133.508776,4.09e-05,-4.09e-05,0.321,0.036,-0.072,2.2608,0.00854,-0.00854,14431.2,11.6,-11.6,10.07,0.75,-0.47,982.0,,,219.64,50.33,-32.59,1549.00,1,q1_q17_dr25_tce,5167.00,82.00,-82.00,4.527,0.040,-0.060,0.8480,0.0630,-0.0400,19h21m25.93s,+40d34m03.9s,14.741,
4278221,K01615.01,Kepler-908 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.340596782,2.113e-06,-2.113e-06,132.24549,0.0013,-0.0013,0.007,0.437,-0.007,1.6484,0.0415,-0.0415,107.5,3.4,-3.4,1.16,0.2,-0.09,1783.0,,,2393.35,1122.81,-534.63,37.60,1,q1_q17_dr25_tce,5992.00,119.00,-119.00,4.385,0.054,-0.117,1.1250,0.1860,-0.0930,19h41m17.40s,+39d22m35.4s,11.524,
10214162,K01724.01,Kepler-941 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.42393582,9.28e-05,-9.28e-05,148.82614,0.00515,-0.00515,0.927,0.002,-0.669,4.929,0.144,-0.144,770.9,24.9,-24.9,3.29,1.04,-0.41,722.0,,,64.13,61.52,-22.23,33.20,1,q1_q17_dr25_tce,6018.00,189.00,-231.00,4.460,0.070,-0.210,0.9690,0.3060,-0.1220,19h37m18.32s,+47d13m03.4s,15.601,
10905746,K01725.01,Kepler-1651 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.8786461,1.742e-05,-1.742e-05,138.41159,0.00198,-0.00198,0.019,0.423,-0.019,1.8915,0.042,-0.042,1472.7,35.3,-35.3,1.6,0.18,-0.21,393.0,,,5.65,1.87,-1.77,49.20,1,q1_q17_dr25_tce,3609.00,72.00,-81.00,4.843,0.050,-0.055,0.4220,0.0460,-0.0560,18h54m30.92s,+48d23m27.6s,13.496,
8242434,K01726.01,Kepler-942 b,CONFIRMED,CANDIDATE,0.7480,0,0,0,0,44.96407458,7.489e-05,-7.489e-05,144.56002,0.00136,-0.00136,0.11,0.369,-0.11,4.981,0.0542,-0.0542,811.6,10.4,-10.4,2,0.14,-0.07,379.0,,,4.89,1.17,-0.69,88.00,1,q1_q17_dr25_tce,4827.00,96.00,-96.00,4.615,0.012,-0.054,0.7290,0.0510,-0.0260,19h39m49.23s,+44d08m59.3s,13.054,
6185331,K01727.01,Kepler-943 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,49.7700907,0.0001068,-0.0001068,159.98658,0.0018,-0.0018,0.655,0.065,-0.225,10.065,0.184,-0.184,3529.2,37.8,-37.8,5.12,1.24,-0.41,455.0,,,10.16,7.31,-2.55,109.80,1,q1_q17_dr25_tce,5774.00,155.00,-172.00,4.567,0.040,-0.160,0.8180,0.1990,-0.0660,18h57m05.75s,+41d32m06.1s,15.640,
11820830,K01728.01,,FALSE POSITIVE,FALSE POSITIVE,0.9940,0,1,0,0,12.7319385,2.414e-05,-2.414e-05,138.73144,0.00163,-0.00163,1.278,6.742,-0.072,4.4157,0.0893,-0.0893,11449,196,-196,70.11,24.86,-10.64,1145.0,,,405.75,424.97,-156.02,69.90,1,q1_q17_dr25_tce,7238.00,201.00,-277.00,4.221,0.090,-0.210,1.5680,0.5560,-0.2380,19h40m51.99s,+50d05m03.6s,12.087,
11774387,K01497.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.520222869,1.064e-06,-1.064e-06,178.14846,0.0018,-0.0018,0.562,0.015,-0.47,1.2216,0.0592,-0.0592,269.5,11.8,-11.8,1.52,0.46,-0.16,2145.0,,,5038.49,4537.96,-1443.68,28.90,1,q1_q17_dr25_tce,5776.00,156.00,-173.00,4.527,0.038,-0.212,0.8890,0.2730,-0.0910,19h48m11.16s,+49d58m13.4s,15.632,
9636135,K01498.01,Kepler-864 b,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,5.83376197,1.816e-05,-1.816e-05,138.74892,0.0026,-0.0026,0.742,0.183,-0.528,3.9988,0.0877,-0.0877,532.9,15.5,-15.5,2.98,0.88,-0.35,1143.0,,,403.49,350.26,-138.25,36.60,1,q1_q17_dr25_tce,6213.00,173.00,-259.00,4.387,0.060,-0.192,1.1950,0.3510,-0.1400,19h00m13.70s,+46d19m14.4s,15.776,
